e1 

dew







[ctrl]c
[alt]		[alt]	[alt]	[ctrl]ccc[ctrl]z2020-12-06 16:25:12,331: Key pressed: u'w'
2020-12-06 16:25:12,460: Key pressed: u'e'
2020-12-06 16:25:12,501: Key released: u'w'
2020-12-06 16:25:12,515: Key pressed: u'f'
2020-12-06 16:25:12,567: Key released: u'e'
2020-12-06 16:25:12,712: Key pressed: u'w'
2020-12-06 16:25:12,743: Key released: u'f'
2020-12-06 16:25:12,797: Key pressed: u'e'
2020-12-06 16:25:12,862: Key pressed: u'f'
2020-12-06 16:25:12,873: Key released: u'w'
2020-12-06 16:25:12,898: Key released: u'e'
2020-12-06 16:25:12,994: Key released: u'f'
2020-12-06 16:25:13,261: Key pressed: Key.enter
2020-12-06 16:25:13,391: Key released: Key.enter
2020-12-06 16:25:13,787: Key pressed: Key.enter
2020-12-06 16:25:13,894: Key released: Key.enter
2020-12-06 16:25:13,963: Key pressed: Key.enter
2020-12-06 16:25:14,080: Key released: Key.enter
2020-12-06 16:25:14,225: Key pressed: Key.ctrl
2020-12-06 16:25:14,431: Key pressed: u'c'
2020-12-06 16:25:14,511: Key released: u'c'
2020-12-06 16:25:15,537: Key released: Key.ctrl
2020-12-06 16:25:15,611: Key pressed: Key.ctrl
2020-12-06 16:25:15,713: Key released: Key.ctrl
2020-12-06 16:25:15,903: Key pressed: Key.ctrl
2020-12-06 16:25:16,140: Key pressed: u'c'
2020-12-06 16:25:16,441: Key released: u'c'
2020-12-06 16:25:16,567: Key released: Key.ctrl
2020-12-06 16:25:17,065: Key pressed: Key.esc
2020-12-06 16:25:17,160: Key released: Key.esc
2020-12-06 16:25:17,651: Key pressed: Key.enter
2020-12-06 16:25:17,738: Key released: Key.enter
2020-12-06 16:25:17,752: Key pressed: Key.esc
2020-12-06 16:25:17,859: Key released: Key.esc
2020-12-06 16:25:18,064: Key pressed: Key.esc
2020-12-06 16:25:18,155: Key released: Key.esc
2020-12-06 16:25:18,230: Key pressed: Key.esc
2020-12-06 16:25:18,326: Key released: Key.esc
2020-12-06 16:25:18,401: Key pressed: Key.enter
2020-12-06 16:25:18,497: Key released: Key.enter
2020-12-06 16:25:18,663: Key pressed: Key.up
2020-12-06 16:25:18,749: Key released: Key.up
2020-12-06 16:25:18,834: Key pressed: Key.up
2020-12-06 16:25:18,910: Key released: Key.up
2020-12-06 16:25:18,988: Key pressed: Key.up
2020-12-06 16:25:19,071: Key released: Key.up
2020-12-06 16:25:19,241: Key pressed: Key.down
2020-12-06 16:25:19,362: Key released: Key.down
2020-12-06 16:25:19,497: Key pressed: Key.esc
2020-12-06 16:25:19,632: Key released: Key.esc
2020-12-06 16:25:19,673: Key pressed: Key.right
2020-12-06 16:25:19,869: Key pressed: Key.up
2020-12-06 16:25:19,882: Key released: Key.right
2020-12-06 16:25:19,889: Key pressed: Key.left
2020-12-06 16:25:20,002: Key released: Key.up
2020-12-06 16:25:20,043: Key released: Key.left
2020-12-06 16:25:20,290: Key pressed: Key.enter
2020-12-06 16:25:20,386: Key released: Key.enter
2020-12-06 16:25:20,684: Key pressed: Key.ctrl
2020-12-06 16:25:20,929: Key pressed: u'c'
2020-12-06 16:25:21,430: Key pressed: u'c'
2020-12-06 16:25:21,460: Key pressed: u'c'
2020-12-06 16:25:21,490: Key pressed: u'c'
2020-12-06 16:25:21,521: Key pressed: u'c'
2020-12-06 16:25:21,551: Key pressed: u'c'
2020-12-06 16:25:21,582: Key pressed: u'c'
2020-12-06 16:25:21,613: Key pressed: u'c'
2020-12-06 16:25:21,642: Key pressed: u'c'
2020-12-06 16:25:21,673: Key pressed: u'c'
2020-12-06 16:25:21,703: Key pressed: u'c'
2020-12-06 16:25:21,734: Key pressed: u'c'
2020-12-06 16:25:21,765: Key pressed: u'c'
2020-12-06 16:25:21,796: Key pressed: u'c'
2020-12-06 16:25:21,827: Key pressed: u'c'
2020-12-06 16:25:21,856: Key pressed: u'c'
2020-12-06 16:25:21,887: Key pressed: u'c'
2020-12-06 16:25:21,916: Key pressed: u'c'
2020-12-06 16:25:21,946: Key pressed: u'c'
2020-12-06 16:25:21,977: Key pressed: u'c'
2020-12-06 16:25:22,008: Key pressed: u'c'
2020-12-06 16:25:22,038: Key pressed: u'c'
2020-12-06 16:25:22,069: Key pressed: u'c'
2020-12-06 16:25:22,100: Key pressed: u'c'
2020-12-06 16:25:22,101: Key released: Key.ctrl
2020-12-06 16:25:22,110: Key released: u'c'
2020-12-06 16:25:22,798: Key pressed: Key.enter
2020-12-06 16:25:23,060: Key released: Key.enter
2020-12-06 16:25:24,858: Key pressed: u'w'
2020-12-06 16:25:24,884: Key pressed: u'e'
2020-12-06 16:25:25,030: Key released: u'w'
2020-12-06 16:25:25,040: Key released: u'e'
2020-12-06 16:25:25,568: Key pressed: u'f'
2020-12-06 16:25:25,799: Key released: u'f'
2020-12-06 16:25:25,981: Key pressed: u'w'
2020-12-06 16:25:26,025: Key pressed: u'e'
2020-12-06 16:25:26,171: Key released: u'e'
2020-12-06 16:25:26,181: Key released: u'w'
2020-12-06 16:25:26,457: Key pressed: u'f'
2020-12-06 16:25:26,623: Key released: u'f'
2020-12-06 16:25:27,010: Key pressed: Key.space
2020-12-06 16:25:27,510: Key pressed: Key.space
2020-12-06 16:25:27,539: Key pressed: Key.space
2020-12-06 16:25:27,570: Key pressed: Key.space
2020-12-06 16:25:27,601: Key pressed: Key.space
2020-12-06 16:25:27,631: Key pressed: Key.space
2020-12-06 16:25:27,662: Key pressed: Key.space
2020-12-06 16:25:27,692: Key pressed: Key.space
2020-12-06 16:25:27,723: Key pressed: Key.space
2020-12-06 16:25:27,754: Key pressed: Key.space
2020-12-06 16:25:27,785: Key pressed: Key.space
2020-12-06 16:25:27,816: Key pressed: Key.space
2020-12-06 16:25:27,845: Key pressed: Key.space
2020-12-06 16:25:27,874: Key released: Key.space
2020-12-06 16:25:28,542: Key pressed: u'w'
2020-12-06 16:25:29,044: Key pressed: u'w'
2020-12-06 16:25:29,074: Key pressed: u'w'
2020-12-06 16:25:29,105: Key pressed: u'w'
2020-12-06 16:25:29,135: Key pressed: u'w'
2020-12-06 16:25:29,165: Key pressed: u'w'
2020-12-06 16:25:29,196: Key pressed: u'w'
2020-12-06 16:25:29,228: Key pressed: u'w'
2020-12-06 16:25:29,236: Key released: u'w'
2020-12-06 16:25:29,457: Key pressed: u'e'
2020-12-06 16:25:29,548: Key pressed: u'f'
2020-12-06 16:25:29,593: Key released: u'e'
2020-12-06 16:25:29,743: Key pressed: u'w'
2020-12-06 16:25:29,779: Key released: u'f'
2020-12-06 16:25:29,864: Key pressed: u'e'
2020-12-06 16:25:29,940: Key released: u'w'
2020-12-06 16:25:29,970: Key pressed: u'f'
2020-12-06 16:25:30,000: Key released: u'e'
2020-12-06 16:25:30,106: Key released: u'f'
2020-12-06 16:25:30,297: Key pressed: Key.backspace
2020-12-06 16:25:30,372: Key released: Key.backspace
2020-12-06 16:25:34,030: Key pressed: Key.alt
2020-12-06 16:25:34,141: Key pressed: Key.tab
2020-12-06 16:25:34,267: Key released: Key.tab
2020-12-06 16:25:34,287: Key released: Key.alt
2020-12-06 16:25:49,637: Key pressed: Key.ctrl
2020-12-06 16:25:49,857: Key pressed: u'c'
2020-12-06 16:25:49,942: Key released: Key.ctrl
2020-12-06 16:25:49,957: Key released: u'c'
2020-12-06 16:25:50,068: Key pressed: Key.alt
2020-12-06 16:25:50,168: Key pressed: Key.tab
2020-12-06 16:25:50,254: Key released: Key.tab
2020-12-06 16:25:50,289: Key released: Key.alt
2020-12-06 16:25:53,038: Key pressed: Key.ctrl
2020-12-06 16:25:53,399: Key pressed: u'v'
2020-12-06 16:25:53,475: Key released: u'v'
2020-12-06 16:25:53,571: Key released: Key.ctrl
2020-12-06 16:25:53,766: Key pressed: Key.alt
2020-12-06 16:25:53,856: Key pressed: Key.tab
2020-12-06 16:25:53,963: Key released: Key.alt
2020-12-06 16:25:53,973: Key released: Key.tab
2020-12-06 16:25:57,245: Key pressed: Key.ctrl
2020-12-06 16:25:57,451: Key pressed: u'c'
2020-12-06 16:25:57,536: Key released: u'c'
2020-12-06 16:25:57,546: Key released: Key.ctrl
2020-12-06 16:25:57,666: Key pressed: Key.alt
2020-12-06 16:25:57,732: Key pressed: Key.tab
2020-12-06 16:25:57,837: Key released: Key.alt
2020-12-06 16:25:57,852: Key released: Key.tab
2020-12-06 16:26:03,180: Key pressed: Key.backspace
2020-12-06 16:26:03,255: Key released: Key.backspace
2020-12-06 16:26:03,532: Key pressed: Key.backspace
2020-12-06 16:26:03,612: Key released: Key.backspace
2020-12-06 16:26:03,637: Key pressed: Key.ctrl
2020-12-06 16:26:03,732: Key pressed: u'v'
2020-12-06 16:26:03,803: Key released: u'v'
2020-12-06 16:26:03,828: Key released: Key.ctrl
2020-12-06 16:26:04,126: Key pressed: Key.up
2020-12-06 16:26:04,208: Key released: Key.up
2020-12-06 16:26:04,246: Key pressed: Key.up
2020-12-06 16:26:04,362: Key released: Key.up
2020-12-06 16:26:04,442: Key pressed: Key.up
2020-12-06 16:26:04,503: Key released: Key.up
2020-12-06 16:26:04,613: Key pressed: Key.up
2020-12-06 16:26:04,671: Key released: Key.up
2020-12-06 16:26:04,769: Key pressed: Key.up
2020-12-06 16:26:04,835: Key released: Key.up
2020-12-06 16:26:04,925: Key pressed: Key.up
2020-12-06 16:26:05,003: Key released: Key.up
2020-12-06 16:26:05,124: Key pressed: Key.shift
2020-12-06 16:26:05,200: Key released: Key.shift
2020-12-06 16:26:05,367: Key pressed: Key.down
2020-12-06 16:26:05,468: Key released: Key.down
2020-12-06 16:26:05,512: Key pressed: Key.shift
2020-12-06 16:26:05,623: Key pressed: Key.up
2020-12-06 16:26:05,699: Key released: Key.up
2020-12-06 16:26:05,784: Key pressed: Key.up
2020-12-06 16:26:05,847: Key released: Key.up
2020-12-06 16:26:05,935: Key pressed: Key.up
2020-12-06 16:26:06,001: Key released: Key.up
2020-12-06 16:26:06,226: Key released: Key.shift
2020-12-06 16:26:06,326: Key pressed: Key.backspace
2020-12-06 16:26:06,421: Key released: Key.backspace
2020-12-06 16:26:06,889: Key pressed: Key.shift
2020-12-06 16:26:07,001: Key pressed: Key.up
2020-12-06 16:26:07,073: Key released: Key.up
2020-12-06 16:26:07,146: Key released: Key.shift
2020-12-06 16:26:07,241: Key pressed: Key.backspace
2020-12-06 16:26:07,311: Key released: Key.backspace
2020-12-06 16:26:07,502: Key pressed: Key.ctrl
2020-12-06 16:26:07,717: Key pressed: u's'
2020-12-06 16:26:07,763: Key released: Key.ctrl
2020-12-06 16:26:07,823: Key released: u's'
2020-12-06 16:26:07,833: Key pressed: Key.ctrl
2020-12-06 16:26:07,954: Key released: Key.ctrl
2020-12-06 16:26:08,023: Key pressed: Key.alt
2020-12-06 16:26:08,119: Key pressed: Key.tab
2020-12-06 16:26:08,221: Key released: Key.tab
2020-12-06 16:26:08,256: Key released: Key.alt
2020-12-06 16:26:08,879: Key pressed: Key.alt
2020-12-06 16:26:08,989: Key pressed: Key.tab
2020-12-06 16:26:09,085: Key released: Key.tab
